id,anchor,target,context,title,label
ed1c4e525eb105fe,transmit alarm,display indicator,G08,signalling,0.0
5386316f318f5221,locking formation,retaining element,B60,vehicles in general,0.25
97b41211c765640f,pulsed plasma,radio frequency plasma,H05,electric techniques not otherwise provided for,0.5
80e7ed1ccdbb455e,shaped substrates,shape substrates,H01,basic electric elements,1.0
125aa21bd2ccc2ba,mayenite,limestone watch,F27,furnaces; kilns; ovens; retorts,0.0
82d3e01ecf6f9b45,provide for tuning,turning machine,H01,basic electric elements,0.0
60a6f7b00be59a3a,material formation,composite material formation,H01,basic electric elements,0.5
1a0201c697261951,sheet supply roller,pickup roller,B65,conveying; packing; storing; handling thin or filamentary material,0.5
71faf441168a0fe7,dicy,disc,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.0
443d1eaa2e3f7ac8,main pulse laser,laser printer,H05,electric techniques not otherwise provided for,0.0
0e9d2368ac2bfe79,starch component,thermoplastic starch,D01,natural or man-made threads or fibres; spinning,0.5
f51df650e7683930,liquid reservoirs,chambers,B01,physical or chemical processes or apparatus in general,0.5
708dab55ab9e64a3,siloxane based,polysiloxane based,C04,cements; concrete; artificial stone; ceramics; refractories,0.75
c51b307f777a8895,val ile,leu val,C07,organic chemistry,0.25
ecac25a6eadf98a5,package member,flexible member,A61,medical or veterinary science; hygiene,0.5
c79ae4f09b7232f4,lift element,cam element,D01,natural or man-made threads or fibres; spinning,0.25
fbd9034a9b0390b4,time domain equalization,channel time,H03,basic electronic circuitry,0.5
91ebeaea01f4dc11,vertical chute,vertical farming,B65,conveying; packing; storing; handling thin or filamentary material,0.0
37052764af94d7a6,content analysis,analytics,B66,hoisting; lifting; hauling,0.5
8a62e7a8c30e9bf7,breech mechanism,magazine,B25,hand tools; portable power-driven tools; manipulators,0.25
18c05a49da1da8b1,material item,wire material,H04,electric communication technique,0.25
210eaec557ead1b6,contain sulfur compounds,comprise sulfur compounds,C11,"animal or vegetable oils, fats, fatty substances or waxes; fatty acids therefrom; detergents; candles",0.75
ccc9610f92f97298,paraboloid,paraboloid surface,A61,medical or veterinary science; hygiene,0.5
f9776970166126a1,self resonance frequency,natural resonance,H01,basic electric elements,0.5
659238e334d2e69a,based method,use based method,G06,computing; calculating; counting,0.5
a1ecbb03692db194,illumination condition,adjustment gap,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,0.0
5725a8995cd18971,pendent,hollow,B65,conveying; packing; storing; handling thin or filamentary material,0.25
35882fab4ec027c4,personage,distinguished person,A63,sports; games; amusements,0.5
037c11550aa88844,reduction factor,reduction,H04,electric communication technique,0.25
9e3eca9780ed955c,clear buffer,polymer,G02,optics,0.0
025d8390d281920e,battery monitoring circuit,conventional battery management apparatus,G01,measuring; testing,0.5
45beb9c008949994,wedge device,thrust washer,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.25
9e4fc60eee185e05,cervical support,cervical support collar,A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,0.75
fd2316deb896c359,apply to muscle,apply for food stamp,A61,medical or veterinary science; hygiene,0.0
54316a3e09c70cf1,adjustable multiple,fixed multiple,B25,hand tools; portable power-driven tools; manipulators,0.25
c3ca161c7b8d68bf,sprayed,thermal sprayed coating,E04,building,0.5
19095a787dc75dce,perfluoroalkyl group,lower alkyl,C11,"animal or vegetable oils, fats, fatty substances or waxes; fatty acids therefrom; detergents; candles",0.25
d4f40bbc335accaa,slot open,open cast,C22,metallurgy; ferrous or non-ferrous alloys; treatment of alloys or non-ferrous metals,0.0
9bc456fb2e58d1b0,organic starting,organic starting,B61,railways,1.0
cf079d20bc873aa0,different conductivity,different silicon content,H02,generation; conversion or distribution of electric power,0.5
4c487c32c66e49cc,average pore size,air size,C04,cements; concrete; artificial stone; ceramics; refractories,0.0
ffaecef8ece6fa1f,oxygen lean,substantial oxygen,C01,inorganic chemistry,0.5
784a15d14d445578,smooth outer surface,substantially smooth outer surface,C21,metallurgy of iron,0.5
42c2cbee04055537,herpes,infection,A61,medical or veterinary science; hygiene,0.25
00677e646ba50c4e,vertical chute,plane chute,B65,conveying; packing; storing; handling thin or filamentary material,0.25
ffd9bdfba2bee3b3,wire grid polarization,wire stem,G02,optics,0.0
efcf25374ed42c40,connect to electrode structure,utilize analog electrode,H01,basic electric elements,0.5
3c24789b3f8fd2c7,gas leak,fuel gas leak,F17,storing or distributing gases or liquids,0.75
8d20d09855098199,battery cell assembly,cathode,F28,heat exchange in general,0.25
8022017fce080ffe,dual clutch,twin clutch transmission,B60,vehicles in general,0.75
44710305fe8635f9,board id,board information,H05,electric techniques not otherwise provided for,0.75
64bfea4adc11e800,methoxyethylamine,aminoethyl methyl ether,C07,organic chemistry,0.75
915ef18a8aa71a62,laminated wall,ceiling claddings,C03,glass; mineral or slag wool,0.25
4f8d18e7ee6f98e9,abnormal position,locked position,D03,weaving,0.5
3f4bcfabb130c05a,speed control means,drive device,H02,generation; conversion or distribution of electric power,0.25
